,IP,Domain,Location
120.151.137.61,120.151.137.61,svikis.lnk.telstra.net,Australia  02  Auburn
150.70.188.169,150.70.188.169,150-70-188-169.trendmicro.com,Japan
150.70.173.7,150.70.173.7,150-70-173-7.trendmicro.com,Japan
150.70.97.96,150.70.97.96,150-70-97-96.trendmicro.com,Japan
150.70.173.12,150.70.173.12,150-70-173-12.trendmicro.com,Japan
103.44.43.54,103.44.43.54,103-44-43-54.yssy01.au.vertiro.co,Australia  02  Sydney
125.255.32.232,125.255.32.232,b40E8.static.pacific.net.au,Australia  02  Sydney
203.206.133.199,203.206.133.199,203-206-133-199.perm.iinet.net.au,Australia  08  Perth
165.228.156.228,165.228.156.228,hollin.lnk.telstra.net,Australia  07  Cheltenham
150.70.173.54,150.70.173.54,150-70-173-54.trendmicro.com,Japan
150.70.173.51,150.70.173.51,150-70-173-51.trendmicro.com,Japan
150.70.173.41,150.70.173.41,150-70-173-41.trendmicro.com,Japan
150.70.173.48,150.70.173.48,150-70-173-48.trendmicro.com,Japan
150.70.173.6,150.70.173.6,150-70-173-6.trendmicro.com,Japan
150.70.173.14,150.70.173.14,150-70-173-14.trendmicro.com,Japan
123.51.13.2,123.51.13.2,123-51-13-2.static.dsl.net.au,Australia  07  Berwick
150.70.97.97,150.70.97.97,150-70-97-97.trendmicro.com,Japan
134.159.131.34,134.159.131.34,unknown.telstraglobal.net,Australia  02  Sydney
40.77.167.13,40.77.167.13,msnbot-40-77-167-13.search.msn.com,United States
202.173.142.51,202.173.142.51,dsl-202-173-142-51.sa.westnet.com.au,Australia
77.66.60.75,77.66.60.75,crawl-77.66.60.75.findxbot.com,Denmark
101.181.181.127,101.181.181.127,CPE-101-181-181-127.lnse6.cha.bigpond.net.au,Australia  07  Rowville
110.23.17.83,110.23.17.83,c110-23-17-83.rochd7.qld.optusnet.com.au,Australia  04  Brisbane
110.22.120.133,110.22.120.133,c110-22-120-133.eburwd6.vic.optusnet.com.au,Australia  07  Burwood
120.150.169.120,120.150.169.120,sci1532153.lnk.telstra.net,Australia  02  Sydney
150.70.188.178,150.70.188.178,150-70-188-178.trendmicro.com,Japan
150.70.188.167,150.70.188.167,150-70-188-167.trendmicro.com,Japan
150.70.188.181,150.70.188.181,150-70-188-181.trendmicro.com,Japan
150.70.188.176,150.70.188.176,150-70-188-176.trendmicro.com,Japan
141.105.68.4,141.105.68.4,,Russian Federation
58.96.100.223,58.96.100.223,223.100.96.58.static.exetel.com.au,Australia  07  Hawthorn
150.70.188.165,150.70.188.165,150-70-188-165.trendmicro.com,Japan
150.70.188.182,150.70.188.182,150-70-188-182.trendmicro.com,Japan
150.70.173.50,150.70.173.50,150-70-173-50.trendmicro.com,Japan
150.70.173.58,150.70.173.58,150-70-173-58.trendmicro.com,Japan
150.70.173.8,150.70.173.8,150-70-173-8.trendmicro.com,Japan
150.70.173.56,150.70.173.56,150-70-173-56.trendmicro.com,Japan
8.37.217.218,8.37.217.218,,United States
124.83.12.22,124.83.12.22,,Philippines
150.70.173.43,150.70.173.43,150-70-173-43.trendmicro.com,Japan
220.244.149.42,220.244.149.42,mail.wearne.com.au,Australia  02  Crows Nest
150.70.188.179,150.70.188.179,150-70-188-179.trendmicro.com,Japan
150.70.188.166,150.70.188.166,150-70-188-166.trendmicro.com,Japan
150.70.188.172,150.70.188.172,150-70-188-172.trendmicro.com,Japan
150.70.97.130,150.70.97.130,150-70-97-130.trendmicro.com,Japan
150.70.188.171,150.70.188.171,150-70-188-171.trendmicro.com,Japan
220.239.107.128,220.239.107.128,c220-239-107-128.belrs4.nsw.optusnet.com.au,Australia  02  Allambie Heights
66.249.69.229,66.249.69.229,crawl-66-249-69-229.googlebot.com,United States  CA  Mountain View
182.75.116.2,182.75.116.2,nsg-static-2.116.75.182-airtel.com,India
1.129.96.23,1.129.96.23,,Australia  02  Sydney
151.80.31.134,151.80.31.134,boson119.ahrefs.com,France  B4  Roubaix
40.77.167.69,40.77.167.69,msnbot-40-77-167-69.search.msn.com,United States
107.170.57.98,107.170.57.98,,United States  NY  New York
172.194.28.28,172.194.28.28,cpe-172-194-28-28.nsw.foxtel.net.au,Australia
157.55.39.178,157.55.39.178,msnbot-157-55-39-178.search.msn.com,United States  WA  Redmond
40.77.167.52,40.77.167.52,msnbot-40-77-167-52.search.msn.com,United States
157.55.39.180,157.55.39.180,msnbot-157-55-39-180.search.msn.com,United States  WA  Redmond
40.77.167.6,40.77.167.6,msnbot-40-77-167-6.search.msn.com,United States
66.249.65.64,66.249.65.64,crawl-66-249-65-64.googlebot.com,United States  CA  Mountain View
40.77.167.58,40.77.167.58,msnbot-40-77-167-58.search.msn.com,United States
220.239.225.123,220.239.225.123,c220-239-225-123.belrs5.nsw.optusnet.com.au,Australia  02  Forestville
66.249.65.67,66.249.65.67,crawl-66-249-65-67.googlebot.com,United States  CA  Mountain View
207.46.13.74,207.46.13.74,msnbot-207-46-13-74.search.msn.com,United States  WA  Redmond
157.55.39.186,157.55.39.186,msnbot-157-55-39-186.search.msn.com,United States  WA  Redmond
43.250.165.157,43.250.165.157,,India  09  Ahmedabad
101.184.131.222,101.184.131.222,,Australia  04  Bulimba
124.187.135.59,124.187.135.59,CPE-124-187-135-59.lns15.ken.bigpond.net.au,Australia  02  Concord
157.55.39.190,157.55.39.190,msnbot-157-55-39-190.search.msn.com,United States  WA  Redmond
157.55.39.34,157.55.39.34,msnbot-157-55-39-34.search.msn.com,United States  WA  Redmond
122.165.110.18,122.165.110.18,abts-tn-static-018.110.165.122.airtelbroadband.in,India  25  Chennai
49.199.27.137,49.199.27.137,pa49-199-27-137.pa.vic.optusnet.com.au,Australia  07  Melbourne
