,IP,Domain,Location
110.142.100.12,110.142.100.12,moggos.lnk.telstra.net,Australia  07  Horsham
203.208.90.131,203.208.90.131,131.90.208.203.cable.sta.gex.ncable.com.au,Australia  07  Geelong
59.167.236.154,59.167.236.154,mail.mitchellpartners.com.au,Australia  02  Sydney
58.174.202.46,58.174.202.46,CPE-58-174-202-46.eqdn1.fli.bigpond.net.au,Australia  05  Vale Park
180.76.15.150,180.76.15.150,baiduspider-180-76-15-150.crawl.baidu.com,China  22  Beijing
123.243.30.238,123.243.30.238,123-243-30-238.static.tpgi.com.au,Australia  02  Chester Hill
180.76.15.138,180.76.15.138,baiduspider-180-76-15-138.crawl.baidu.com,China  22  Beijing
86.47.80.145,86.47.80.145,,Ireland
49.199.3.160,49.199.3.160,pa49-199-3-160.pa.vic.optusnet.com.au,Australia  07  Wheelers Hill
180.76.15.147,180.76.15.147,baiduspider-180-76-15-147.crawl.baidu.com,China  22  Beijing
180.76.15.28,180.76.15.28,baiduspider-180-76-15-28.crawl.baidu.com,China  22  Beijing
180.76.15.155,180.76.15.155,baiduspider-180-76-15-155.crawl.baidu.com,China  22  Beijing
180.76.15.33,180.76.15.33,baiduspider-180-76-15-33.crawl.baidu.com,China  22  Beijing
103.30.185.167,103.30.185.167,,Australia  02  Sydney
49.197.43.46,49.197.43.46,pa49-197-43-46.pa.qld.optusnet.com.au,Australia  04  Brisbane
103.30.187.168,103.30.187.168,,Australia  07  Bellfield
203.122.243.90,203.122.243.90,mail.rowepartners.com.au,Australia  05  North Adelaide
202.189.75.182,202.189.75.182,portal.cavendishsuper.com.au,Australia  05  North Adelaide
180.76.15.8,180.76.15.8,baiduspider-180-76-15-8.crawl.baidu.com,China  22  Beijing
58.108.239.87,58.108.239.87,static-58-108-239-87.optusnet.com.au,Australia  02  Sydney
180.76.15.10,180.76.15.10,baiduspider-180-76-15-10.crawl.baidu.com,China  22  Beijing
218.214.64.245,218.214.64.245,245.64.214.218.sta.commander.net.au,Australia
203.45.120.208,203.45.120.208,grampi3.lnk.telstra.net,Australia  07  Melbourne
203.87.61.194,203.87.61.194,203-87-61-194.static.tpgi.com.au,Australia  07  Melbourne
203.191.194.82,203.191.194.82,203-191-194-82.static.tpgi.com.au,Australia  04
203.174.128.166,203.174.128.166,203-174-128-166.syd.static-ipl.aapt.com.au,Australia  02  Sydney
180.148.76.118,180.148.76.118,180.148.76.118.static.amnet.net.au,Australia  02  Bossley Park
59.100.5.241,59.100.5.241,mail.carnegiefin.com.au,Australia  02  Crows Nest
